frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,car_color
2100,367,[1080.7783471542919 666.8327025054805 1282.4209269503938 829.5511999228829],[1155.8521728515625 736.9544677734375 1214.680908203125 753.740478515625],0.4507637023925781,2113FG01,0.020051197297894178,Unknown
2108,367,[1086.2814789697172 662.0639843496685 1286.1857797807675 823.4430662479567],[1158.402587890625 728.5638427734375 1215.279052734375 747.1790771484375],0.4699759781360626,JU315OL,0.015371162843351544,Unknown
2614,367,[1041.3234234673926 672.0583676041618 1277.3749703801884 876.0082874327665],[1126.673828125 759.6218872070312 1191.9967041015625 780.6336059570312],0.4981823265552521,6223FE04,0.18710779399341657,Unknown
2631,367,[1046.2399587527518 673.7258395052821 1306.6861505407203 899.2001456760069],[1137.185302734375 773.5274047851562 1220.458740234375 797.1798706054688],0.4206032156944275,JI236HW,0.04337186822629678,Unknown
2634,367,[1048.9132760447012 673.9314013122781 1313.0872668698014 901.7434154697252],[1137.967529296875 773.0980224609375 1221.5185546875 798.36328125],0.5404125452041626,JI236FO,0.037836110188097724,Unknown
2726,367,[1103.7401368282422 696.7024035824236 1386.853823071373 937.5992274834564],[1214.8681640625 800.5364379882812 1294.3651123046875 825.8287963867188],0.5271447896957397,0236EO17,0.16570874486988865,Unknown
2790,367,[1090.4519534554154 710.0979376572504 1417.3776771536652 994.1867188543536],[1218.2376708984375 829.4901733398438 1301.4898681640625 856.7553100585938],0.654552161693573,3123FE01,0.25439938315356325,Unknown
2816,367,[1083.7886641987893 711.64698587089 1412.7894852294003 994.8931463996954],[1208.832763671875 832.8480834960938 1308.7109375 860.3139038085938],0.5824730396270752,3223GE01,0.14148801746321762,Unknown
2843,367,[1080.7763595619342 692.2888415557636 1397.3632383322868 951.890211171019],[1193.9827880859375 808.7359008789062 1287.6221923828125 835.056396484375],0.5877651572227478,3124FE01,0.38984698863815576,Unknown
2908,367,[1061.1477062348038 689.0439169781934 1348.36193497826 938.0087675463495],[1164.662109375 796.2596435546875 1255.4219970703125 824.4652099609375],0.6382713913917542,3123FE01,0.31300040810750773,Unknown
2931,367,[1050.5250734303668 683.9022842113636 1321.1658175430603 923.3250130971603],[1143.285400390625 785.00830078125 1228.471923828125 809.74951171875],0.568631112575531,3223FE01,0.2647085923609996,Unknown
2936,367,[1047.2334240642979 685.7069237189252 1315.2627585067683 916.960383820786],[1139.596435546875 783.9877319335938 1223.0072021484375 807.0022583007812],0.6105600595474243,3222FE01,0.18943793281151808,Unknown
3083,367,[1015.6832609505561 643.7466798968011 1261.1269905591919 853.1164243794605],[1104.3812255859375 733.6915283203125 1172.6422119140625 755.442626953125],0.4092633128166199,3273FE01,0.15893892046193642,Unknown
3086,367,[1014.6381855880743 645.0052229811652 1258.643523976755 853.7497076936604],[1102.48876953125 733.5344848632812 1177.89453125 756.6768188476562],0.5310930013656616,4218FE01,0.030168509354597434,Unknown
3224,367,[1006.8961024484057 709.9291801267284 1216.8868651638118 895.521254295945],[1079.4830322265625 782.4049072265625 1140.8929443359375 801.028564453125],0.40545183420181274,3225FE04,0.06446864996968547,Unknown
